dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
01;2020-S20;656955,00;23,00;1407,00;3,50;1,63;214,17;0
01;2020-S21;656955,00;41,00;2322,00;6,24;1,77;353,45;0
01;2020-S22;656955,00;19,00;2187,00;2,89;0,87;332,90;0
02;2020-S20;526050,00;52,00;1380,00;9,88;3,77;262,33;0
02;2020-S21;526050,00;41,00;1311,00;7,79;3,13;249,22;0
02;2020-S22;526050,00;43,00;1730,00;8,17;2,49;328,87;0
03;2020-S20;331315,00;7,00;599,00;2,11;1,17;180,79;0
03;2020-S21;331315,00;27,00;1130,00;8,15;2,39;341,07;0
03;2020-S22;331315,00;9,00;1091,00;2,72;0,82;329,29;0
04;2020-S20;165197,00;4,00;357,00;2,42;1,12;216,11;0
04;2020-S21;165197,00;4,00;482,00;2,42;0,83;291,77;0
04;2020-S22;165197,00;2,00;568,00;1,21;0,35;343,83;0
05;2020-S20;141756,00;7,00;156,00;4,94;4,49;110,05;0
05;2020-S21;141756,00;9,00;332,00;6,35;2,71;234,21;0
05;2020-S22;141756,00;2,00;481,00;1,41;0,42;339,32;0
06;2020-S20;1079396,00;68,00;3107,00;6,30;2,19;287,85;0
06;2020-S21;1079396,00;75,00;5575,00;6,95;1,35;516,49;0
06;2020-S22;1079396,00;47,00;5628,00;4,35;0,84;521,40;0
07;2020-S20;326875,00;13,00;403,00;3,98;3,23;123,29;0
07;2020-S21;326875,00;7,00;565,00;2,14;1,24;172,85;0
07;2020-S22;326875,00;19,00;656,00;5,81;2,90;200,69;0
08;2020-S20;265531,00;15,00;413,00;5,65;3,63;155,54;0
08;2020-S21;265531,00;15,00;639,00;5,65;2,35;240,65;0
08;2020-S22;265531,00;7,00;633,00;2,64;1,11;238,39;0
09;2020-S20;152398,00;1,00;201,00;0,66;0,50;131,89;0
09;2020-S21;152398,00;0,00;247,00;0,00;0,00;162,08;0
09;2020-S22;152398,00;0,00;444,00;0,00;0,00;291,34;0
10;2020-S20;309907,00;8,00;717,00;2,58;1,12;231,36;0
10;2020-S21;309907,00;18,00;990,00;5,81;1,82;319,45;0
10;2020-S22;309907,00;21,00;961,00;6,78;2,19;310,09;0
11;2020-S20;372705,00;48,00;948,00;12,88;5,06;254,36;0
11;2020-S21;372705,00;24,00;1663,00;6,44;1,44;446,20;0
11;2020-S22;372705,00;3,00;1305,00;0,80;0,23;350,14;0
12;2020-S20;278360,00;28,00;393,00;10,06;7,12;141,18;0
12;2020-S21;278360,00;5,00;808,00;1,80;0,62;290,27;0
12;2020-S22;278360,00;4,00;879,00;1,44;0,46;315,78;0
13;2020-S20;2034469,00;176,00;10924,00;8,65;1,61;536,95;0
13;2020-S21;2034469,00;187,00;14706,00;9,19;1,27;722,84;0
